Input_Text,Rejected_Completion,Accepted_Completion
What is the 10-digit number of Jacqueline Carr?,7055147385,2212134216
What is the 10-digit number of Seth Oliver?,8719330402,0919937048
What is the 10-digit number of Stephanie Rivera?,9185563708,1522886798
What is the 10-digit number of Tanya Browning?,6949079671,7482602315
What is the 10-digit number of Lori Smith?,3910353105,6192000992
What is the 10-digit number of Nathan Mueller?,8894954375,3701582424
What is the 10-digit number of Lawrence Moreno?,5247322826,3719992393
What is the 10-digit number of Sabrina Leonard?,4096670406,8076672593
What is the 10-digit number of Kristen Cruz?,7614428864,2801038433
What is the 10-digit number of Steven Ferrell?,7800072578,7953660353
What is the 10-digit number of Anthony Ross?,2519215507,0738992644
What is the 10-digit number of Crystal Jenkins?,3890525709,5508183019
What is the 10-digit number of William Sutton?,5156774624,1303517386
What is the 10-digit number of Brenda Rhodes?,6847965437,8204080266
What is the 10-digit number of Margaret Brown?,4970737849,3452977719
What is the 10-digit number of Jose Martinez?,4789240752,8416807782
What is the 10-digit number of Craig Hoffman?,0739648330,7515764580
What is the 10-digit number of Anthony Cooper?,1663979947,6478193953
What is the 10-digit number of Ryan Santiago?,6455936714,0046599287
What is the 10-digit number of Samuel Gardner?,1118770787,4868753977
What is the 10-digit number of Bruce Rose?,0572022970,1692633065
What is the 10-digit number of Courtney Adams?,5487838164,8890502286
What is the 10-digit number of Scott Clark?,7162419920,5635353171
What is the 10-digit number of Jonathan Martinez?,4543115002,3898144880
What is the 10-digit number of Christopher Garcia?,5273777102,1531088431
What is the 10-digit number of Julie Rosario?,8270053687,7638672737
What is the 10-digit number of Michael Lynch?,2815151546,2804449991
What is the 10-digit number of Debbie Farmer?,5146633099,5484181343
What is the 10-digit number of David Phillips?,8277263488,7386284924
What is the 10-digit number of Lindsey Watson?,2877112985,5846095277
What is the 10-digit number of Crystal Lopez?,7931860931,5284128394
What is the 10-digit number of Anne Rodriguez?,9945349170,4481723210
What is the 10-digit number of John Davis?,3910457990,2472346177
What is the 10-digit number of Jonathan Edwards?,7892200217,5199647970
What is the 10-digit number of Lisa Peterson?,8945580444,1297158527
What is the 10-digit number of Kelly Brown?,2411456186,9724703970
What is the 10-digit number of Timothy Thompson?,1637258832,1304901160
What is the 10-digit number of David Turner?,0840447590,2173499328
What is the 10-digit number of Jaclyn Thompson?,5828518226,3941893808
What is the 10-digit number of Sarah Cooper?,4136478079,2365949510
What is the 10-digit number of Erin Vargas?,0051592676,4350569308
What is the 10-digit number of Brian Smith?,3517558472,0838060933
What is the 10-digit number of Tammy Evans?,0073461342,5511438490
What is the 10-digit number of Lindsey Evans?,4548237007,3991034744
What is the 10-digit number of Mark Sharp?,0566135599,4860500562
What is the 10-digit number of Kevin Powell?,2916898717,1100350737
What is the 10-digit number of Marilyn Wells?,6529375472,1535866738
What is the 10-digit number of Lori Cabrera?,0218267825,9224812043
What is the 10-digit number of Christina Kennedy?,8228783309,7333017909
What is the 10-digit number of Lindsey Tucker?,4041596857,6075362540
What is the 10-digit number of Dylan Miller?,3149017131,4164542703
What is the 10-digit number of Benjamin Mayo?,4407259970,6178711293
What is the 10-digit number of John Lee?,8660065070,6886029652
What is the 10-digit number of Matthew Hahn?,2286225915,4287277488
What is the 10-digit number of John Johnson?,7676733159,4238073340
What is the 10-digit number of Steven Alexander?,3819496376,6076892908
What is the 10-digit number of Billy Proctor?,2986804426,4397918741
What is the 10-digit number of Elizabeth Miller?,6141184641,4018541623
What is the 10-digit number of Larry Nguyen?,6537351844,0795779796
What is the 10-digit number of Jill Howard?,8274015202,5179085414
What is the 10-digit number of Kristi Gonzalez?,8150231550,9801331045
What is the 10-digit number of Danielle George?,0450450194,6071560066
What is the 10-digit number of Michelle Williams?,7672981437,9218950212
What is the 10-digit number of Kelsey Hamilton?,5831451842,0750870130
What is the 10-digit number of Jon Ferguson?,1929379830,9858593899
What is the 10-digit number of Susan Perez?,5385834905,7769453479
What is the 10-digit number of Brianna Matthews?,0015366003,8907184329
What is the 10-digit number of Lisa Juarez?,9933856808,4637476523
What is the 10-digit number of Ronald Rodriguez?,5588429408,7919965267
What is the 10-digit number of Denise Morgan?,0384111862,6068033095
What is the 10-digit number of Robin Benson?,0986699263,5085885416
What is the 10-digit number of Patricia Harris?,6553535459,6238760018
What is the 10-digit number of Alexandra Cook?,3389889324,7762002402
What is the 10-digit number of Robert Armstrong?,2676745812,5821232499
What is the 10-digit number of Sandra Stephens?,1884889392,5204671526
What is the 10-digit number of Karen Forbes?,4906396406,5380893762
What is the 10-digit number of Tony Smith?,4833152119,3221605731
What is the 10-digit number of Brittany Young?,6226969114,8833435126
What is the 10-digit number of Angela Hayes?,5846577260,8492265299
What is the 10-digit number of Michael Scott?,2896490042,3180674455
What is the 10-digit number of Matthew Tran?,4517628492,3729698172
What is the 10-digit number of Rose Howard?,1637150172,0163756816
What is the 10-digit number of Ronald Frederick?,7697063571,9383671469
What is the 10-digit number of Angela Jones?,8569841553,9234793950
What is the 10-digit number of Douglas Lambert?,3858073697,6568216505
What is the 10-digit number of Daniel Riggs?,7594365524,9029870061
What is the 10-digit number of Jennifer Hooper?,8218481368,0914962573
What is the 10-digit number of Kim Thornton?,7831476474,4922792506
What is the 10-digit number of Mark Brewer?,7318062885,9726327455
What is the 10-digit number of Karen Brooks?,8956206146,6347930291
What is the 10-digit number of Shannon Lee?,6955977305,1309549550
What is the 10-digit number of Jared Ramirez?,5851401115,7040471496
What is the 10-digit number of Maurice Tucker?,6592601287,0677468648
What is the 10-digit number of Michael Davis?,7173430281,6334356872
What is the 10-digit number of Richard Phillips?,5301105516,5409568091
What is the 10-digit number of Vanessa Clarke?,3694709345,7947193364
What is the 10-digit number of Zachary Lynch?,3160723341,4490824926
What is the 10-digit number of Joseph Lee?,1819661175,0009838566
What is the 10-digit number of Aaron Wilson?,9165408086,6423706312
What is the 10-digit number of Richard Stokes?,9002986622,9461604014
What is the 10-digit number of Sara Glover?,1470646763,1189830505
What is the 10-digit number of Rachel Wilson?,3599396174,3284409521
What is the 10-digit number of Katrina Wells?,0003522619,7235901462
What is the 10-digit number of Chelsea Green?,4254939026,0143148377
What is the 10-digit number of Nicole Myers?,3885377836,4587561364
What is the 10-digit number of Nicole Briggs?,3632058400,2962654713
What is the 10-digit number of Marcus Ramos?,9122714652,8606142957
What is the 10-digit number of Heather Price?,7554503021,7429564173
What is the 10-digit number of Erik Henry?,7339184717,8841824412
What is the 10-digit number of Hayley Adams?,8848845534,8756528904
What is the 10-digit number of Connie Williams?,0859627696,4309504925
What is the 10-digit number of Nicholas Warner?,7426086296,5992520161
What is the 10-digit number of Julie Jones?,1378013866,1929096386
What is the 10-digit number of Kimberly Jackson?,2407590492,8026522257
What is the 10-digit number of Connie Palmer?,9926265192,6026145702
What is the 10-digit number of Joseph Ray?,8069984730,9003986474
What is the 10-digit number of Natasha Kerr?,1394851975,0467594092
What is the 10-digit number of Marcus Taylor?,0719218981,5664652083
What is the 10-digit number of Adam Branch?,0715663824,1967800108
